astrosci,sex,age,educ,relig,polviews,year
2,2,50,13,4,1,2006
3,1,27,14,2,3,2006
2,2,23,16,4,6,2006
1,2,81,9,1,4,2006
3,1,26,16,6,4,2006
2,1,60,16,2,4,2006
3,2,34,13,3,4,2006
2,2,18,11,1,4,2006
1,2,25,13,2,4,2006
3,2,38,16,1,4,2006
3,1,69,12,1,2,2006
2,2,52,5,1,3,2006
2,1,37,12,2,4,2006
3,2,25,14,2,2,2006
3,2,57,14,1,4,2006
2,1,45,15,2,4,2006
3,1,63,14,1,4,2006
3,2,41,12,4,4,2006
3,2,69,14,2,4,2006
3,2,30,18,2,2,2006
3,2,36,18,2,2,2006
3,1,36,18,NA,3,2006
1,1,29,16,2,2,2006
2,1,52,13,4,1,2006
2,2,35,16,1,5,2006
3,2,46,10,9,NA,2006
3,2,70,12,7,4,2006
2,1,48,12,4,4,2006
3,1,54,16,4,2,2006
2,2,88,12,3,2,2006
3,2,36,18,1,7,2006
3,1,71,16,3,4,2006
3,2,33,17,2,4,2006
3,2,55,9,4,4,2006
3,1,74,12,2,2,2006
1,2,33,10,1,4,2006
3,1,44,10,2,4,2006
3,1,85,13,2,3,2006
3,2,40,17,1,6,2006
3,1,37,19,3,3,2006
2,1,20,14,1,4,2006
3,1,52,15,1,3,2006
2,2,75,17,2,3,2006
3,2,60,18,3,1,2006
3,1,39,20,4,3,2006
2,1,31,17,1,4,2006
3,1,35,17,10,4,2006
2,2,20,12,4,4,2006
3,2,26,18,2,2,2006
3,2,37,11,2,5,2006
3,2,30,16,1,4,2006
3,1,42,16,2,5,2006
3,1,40,13,1,4,2006
3,1,51,14,2,6,2006
3,1,54,16,2,6,2006
2,2,44,14,2,2,2006
3,1,51,16,2,4,2006
3,1,28,16,2,5,2006
3,2,58,16,2,NA,2006
2,2,83,14,2,4,2006
2,2,43,12,2,7,2006
2,2,50,12,2,3,2006
3,2,38,14,10,5,2006
3,2,39,16,2,5,2006
3,2,26,16,2,4,2006
3,1,23,14,2,4,2006
2,2,39,16,4,3,2006
3,2,56,12,1,5,2006
3,1,68,16,3,2,2006
3,2,58,14,2,4,2006
3,1,58,14,2,4,2006
3,1,89,16,2,3,2006
3,2,82,12,2,4,2006
2,2,66,20,2,4,2006
1,2,89,12,1,6,2006
3,1,39,18,1,6,2006
3,2,58,18,2,6,2006
3,2,41,20,1,5,2006
2,2,49,18,2,6,2006
3,2,40,13,2,1,2006
3,2,53,16,3,4,2006
3,1,58,16,2,4,2006
3,2,71,18,4,3,2006
3,2,80,20,1,3,2006
2,2,49,13,5,3,2006
3,2,74,15,2,5,2006
3,1,49,12,6,5,2006
3,2,39,16,1,5,2006
1,1,32,10,4,5,2006
2,1,36,14,2,4,2006
3,2,43,14,2,4,2006
3,1,58,18,4,3,2006
3,2,40,19,1,3,2006
3,1,19,12,1,6,2006
3,1,52,12,4,4,2006
3,1,66,13,2,5,2006
2,2,42,14,1,6,2006
3,2,51,17,1,4,2006
3,1,75,16,1,5,2006
3,1,58,16,1,3,2006
2,2,51,18,1,4,2006
2,2,49,14,1,3,2006
3,2,55,13,1,7,2006
3,1,50,16,4,4,2006
3,2,54,14,3,3,2006
2,1,54,18,4,4,2006
3,1,72,17,10,6,2006
2,1,37,14,2,4,2006
2,2,52,12,1,5,2006
3,2,55,11,1,4,2006
2,1,18,11,2,2,2006
2,1,66,15,4,3,2006
3,2,33,14,1,4,2006
3,2,46,14,1,5,2006
1,2,25,15,2,2,2006
3,1,29,18,2,3,2006
2,2,29,14,2,3,2006
2,1,36,13,2,5,2006
3,1,77,20,4,1,2006
3,2,43,11,1,5,2006
2,2,55,15,11,2,2006
3,1,45,16,1,5,2006
3,2,88,12,1,NA,2006
2,1,44,20,5,1,2006
3,2,46,14,2,6,2006
3,2,26,17,2,2,2006
3,2,38,16,2,3,2006
2,2,63,20,11,1,2006
3,1,55,16,4,4,2006
3,2,26,15,4,2,2006
3,2,62,14,2,2,2006
3,1,22,14,4,4,2006
3,2,32,17,2,3,2006
3,2,20,12,2,2,2006
3,2,59,12,1,6,2006
3,1,36,12,4,4,2006
2,2,34,16,1,4,2006
1,1,37,14,1,6,2006
3,2,28,16,NA,NA,2006
3,2,24,12,1,5,2006
3,2,62,12,2,5,2006
3,1,35,12,4,4,2006
2,1,49,14,1,4,2006
3,1,27,14,3,2,2006
3,2,32,16,1,2,2006
3,1,44,14,1,6,2006
1,2,21,15,3,2,2006
2,2,43,14,1,2,2006
3,2,42,15,2,4,2006
3,2,58,18,1,4,2006
3,1,38,17,4,4,2006
3,2,40,16,1,5,2006
3,2,68,10,1,3,2006
3,1,72,14,2,4,2006
2,2,38,16,2,4,2006
3,2,50,15,2,4,2006
3,1,45,16,2,4,2006
3,2,89,12,1,6,2006
3,1,71,12,1,4,2006
3,2,62,14,1,4,2006
3,2,59,18,4,1,2006
2,1,20,12,2,2,2006
2,2,32,14,2,2,2006
3,2,40,20,1,4,2006
2,2,78,15,2,7,2006
3,1,29,16,2,4,2006
3,2,42,14,1,5,2006
2,2,18,12,2,5,2006
3,1,46,12,1,5,2006
2,2,26,16,1,2,2006
2,2,49,12,2,2,2006
3,2,77,14,1,2,2006
3,2,50,9,1,2,2006
2,1,34,13,4,4,2006
3,2,20,13,4,4,2006
3,1,27,16,1,5,2006
2,1,45,14,1,6,2006
3,2,61,12,1,4,2006
3,2,34,17,2,6,2006
2,2,56,16,4,4,2006
2,2,27,16,1,4,2006
3,1,26,19,7,1,2006
3,2,54,14,2,4,2006
2,2,75,12,1,4,2006
2,2,62,12,1,3,2006
3,1,62,NA,1,4,2006
3,2,53,15,2,1,2006
3,2,38,16,1,2,2006
2,1,36,14,1,5,2006
3,1,50,12,2,6,2006
3,1,48,16,1,4,2006
1,2,40,14,1,4,2006
3,2,30,11,2,4,2006
3,2,55,16,4,2,2006
2,2,27,13,1,6,2006
3,1,55,10,1,4,2006
2,1,72,12,2,4,2006
2,1,55,12,1,1,2006
3,1,62,18,1,3,2006
3,2,63,17,1,2,2006
3,2,46,13,2,4,2006
2,2,54,16,1,2,2006
2,2,36,18,6,2,2006
2,1,21,13,1,3,2006
3,2,28,16,4,1,2006
3,1,32,20,1,3,2006
3,1,36,12,4,4,2006
2,1,59,13,1,2,2006
3,1,62,16,1,4,2006
3,2,49,12,1,5,2006
3,1,29,17,1,4,2006
3,2,41,16,1,4,2006
2,1,60,14,1,6,2006
2,2,26,11,2,6,2006
3,1,51,17,1,5,2006
3,1,60,17,1,5,2006
3,2,52,14,11,5,2006
3,2,19,12,4,2,2006
2,1,21,14,4,4,2006
3,1,42,16,4,4,2006
3,2,33,14,2,5,2006
3,2,54,14,1,6,2006
